Checkpoint,reciprocal_police,substance_police
6900,0.7618181818181818,0.3874709976798144
7000,0.7872727272727272,0.4965197215777262
7100,0.74,0.4222737819025522
7200,0.7072727272727273,0.4037122969837587
7300,0.7745454545454545,0.39443155452436196
7400,0.76,0.38979118329466356
7500,0.8090909090909091,0.46403712296983757
7600,0.7763636363636364,0.45011600928074247
7700,0.7563636363636363,0.4245939675174014
7800,0.7472727272727273,0.3990719257540603
7900,0.7781818181818182,0.45011600928074247
8000,0.7509090909090909,0.382830626450116
8100,0.7581818181818182,0.4617169373549884
8200,0.769090909090909,0.4918793503480278
8300,0.7272727272727273,0.382830626450116
8400,0.7890909090909091,0.5290023201856149
8500,0.7727272727272727,0.5104408352668214
8600,0.7618181818181818,0.48491879350348027
8700,0.7618181818181818,0.5011600928074246
8800,0.78,0.5174013921113689
8900,0.7236363636363636,0.382830626450116
9000,0.7272727272727273,0.39675174013921116
9100,0.7236363636363636,0.33642691415313225
9200,0.7163636363636363,0.4617169373549884
9300,0.8018181818181818,0.46635730858468677
9400,0.7363636363636363,0.4060324825986079
9500,0.76,0.5359628770301624
9600,0.7818181818181819,0.5568445475638051
9700,0.7563636363636363,0.4431554524361949
9800,0.7490909090909091,0.4037122969837587
9900,0.7745454545454545,0.38979118329466356
10000,0.7490909090909091,0.3874709976798144
10100,0.7272727272727273,0.39675174013921116
10200,0.7272727272727273,0.3851508120649652
10300,0.7218181818181818,0.4060324825986079
10400,0.7545454545454545,0.3642691415313225
10500,0.7272727272727273,0.35730858468677495
10600,0.76,0.41067285382830626
10700,0.76,0.4617169373549884
10800,0.74,0.4245939675174014
10900,0.7872727272727272,0.5081206496519721
11000,0.7254545454545455,0.34106728538283065
11100,0.76,0.382830626450116
11200,0.7418181818181818,0.4037122969837587
11300,0.7527272727272727,0.4756380510440835
11400,0.7327272727272728,0.41299303944315546
11500,0.7654545454545455,0.494199535962877
11600,0.7254545454545455,0.42691415313225056
11700,0.7181818181818181,0.4037122969837587
11800,0.8763636363636363,0.6496519721577726
11900,0.7254545454545455,0.3689095127610209
12000,0.7072727272727273,0.41299303944315546
12100,0.74,0.5081206496519721
12200,0.7454545454545455,0.494199535962877
12300,0.7618181818181818,0.39211136890951276
12400,0.7127272727272728,0.39443155452436196
12500,0.7363636363636363,0.42691415313225056
12600,0.769090909090909,0.43155452436194897
12700,0.7527272727272727,0.43155452436194897
12800,0.7054545454545454,0.37819025522041766
12900,0.7345454545454545,0.43155452436194897
13000,0.7418181818181818,0.4709976798143852
13100,0.7472727272727273,0.44547563805104406
13200,0.7363636363636363,0.45011600928074247
13300,0.7109090909090909,0.39443155452436196
13400,0.74,0.4547563805104408
13500,0.7072727272727273,0.3665893271461717
13600,0.7163636363636363,0.40835266821345706
13700,0.6836363636363636,0.38979118329466356
13800,0.7181818181818181,0.3805104408352668
13900,0.7072727272727273,0.42691415313225056
14000,0.7418181818181818,0.44779582366589327
14100,0.6927272727272727,0.4176334106728538
14200,0.7345454545454545,0.42923433874709976
14300,0.7618181818181818,0.4593967517401392
14400,0.7072727272727273,0.4176334106728538
14500,0.730909090909091,0.4617169373549884
14600,0.7327272727272728,0.45011600928074247
14700,0.7618181818181818,0.494199535962877
14800,0.7472727272727273,0.39443155452436196
14900,0.6872727272727273,0.31554524361948955
15000,0.7490909090909091,0.39675174013921116
15100,0.7127272727272728,0.4013921113689095
15200,0.7054545454545454,0.3642691415313225
15300,0.7290909090909091,0.4593967517401392
15400,0.7527272727272727,0.4895591647331787
15500,0.7181818181818181,0.4593967517401392
15600,0.7218181818181818,0.46867749419953597
15700,0.7181818181818181,0.494199535962877
15800,0.7018181818181818,0.4779582366589327
15900,0.7145454545454546,0.42691415313225056
16000,0.7490909090909091,0.4965197215777262
16100,0.7290909090909091,0.44547563805104406
16200,0.6963636363636364,0.43155452436194897
16300,0.7218181818181818,0.4779582366589327
16400,0.72,0.4245939675174014
16500,0.7272727272727273,0.4593967517401392
16600,0.7290909090909091,0.3990719257540603
16700,0.7509090909090909,0.4895591647331787
16800,0.6854545454545454,0.37354988399071926
16900,0.7472727272727273,0.4547563805104408
17000,0.6909090909090909,0.31786542923433875
17100,0.7163636363636363,0.43387470997679817
17200,0.7181818181818181,0.4176334106728538
17300,0.7509090909090909,0.48491879350348027
17400,0.7654545454545455,0.5522041763341067
17500,0.7272727272727273,0.35962877030162416
17600,0.7054545454545454,0.4709976798143852
17700,0.7327272727272728,0.4408352668213457
17800,0.7254545454545455,0.48259860788863107
17900,0.7254545454545455,0.4593967517401392
18000,0.7181818181818181,0.4779582366589327
18100,0.6872727272727273,0.41067285382830626
18200,0.74,0.44547563805104406
18300,0.6854545454545454,0.5081206496519721
18400,0.6781818181818182,0.37122969837587005
18500,0.7090909090909091,0.419953596287703
18600,0.7145454545454546,0.42923433874709976
18700,0.7181818181818181,0.4408352668213457
18800,0.7436363636363637,0.3990719257540603
18900,0.6618181818181819,0.35498839907192575
19000,0.7254545454545455,0.4779582366589327
19100,0.7090909090909091,0.38979118329466356
19200,0.6745454545454546,0.35730858468677495
19300,0.7290909090909091,0.39443155452436196
19400,0.6981818181818182,0.419953596287703
19500,0.7127272727272728,0.35498839907192575
19600,0.6836363636363636,0.37587006960556846
19700,0.7109090909090909,0.41531322505800466
19800,0.7454545454545455,0.41067285382830626
19900,0.7327272727272728,0.3689095127610209
20000,0.6927272727272727,0.33410672853828305
21000,0.74,0.46403712296983757
22000,0.6927272727272727,0.42691415313225056
23000,0.7145454545454546,0.39443155452436196
24000,0.7109090909090909,0.28306264501160094
25000,0.6854545454545454,0.3225058004640371
26000,0.7109090909090909,0.3642691415313225
27000,0.7,0.33642691415313225
28000,0.7236363636363636,0.3851508120649652
29000,0.6854545454545454,0.33874709976798145
30000,0.6945454545454546,0.382830626450116
31000,0.6945454545454546,0.39675174013921116
32000,0.7127272727272728,0.4222737819025522
33000,0.6909090909090909,0.35962877030162416
34000,0.7163636363636363,0.45011600928074247
35000,0.6781818181818182,0.42923433874709976
36000,0.7272727272727273,0.43155452436194897
37000,0.7127272727272728,0.43387470997679817
38000,0.6981818181818182,0.33874709976798145
39000,0.6890909090909091,0.3619489559164733
40000,0.7127272727272728,0.3851508120649652
41000,0.7072727272727273,0.42691415313225056
