Checkpoint	Ditransitives	Motion	Ditransitive/Motion
88000	0.3654422836318878	0.2921706730914912	0.12184698639890944
89000	0.3546155621136243	0.30569008304820616	0.1044265800292586
90000	0.3788882093488126	0.30854350344421844	0.11929383952821009
91000	0.3638273656665371	0.2983322830628893	0.10895446862098808
92000	0.36425093382179324	0.2757346037072306	0.10636045198744899
93000	0.3666359057923684	0.3105748367087639	0.10799186281268902
94000	0.3673346002722807	0.2899681231659464	0.09700194394922587
95000	0.3669956867307833	0.2976223772717969	0.1073441972480647
96000	0.3609365198753881	0.3330701467727844	0.10934903991299313
97000	0.36109968392458996	0.29269934272310144	0.10164574344922846
98000	0.3778581483042805	0.2770830851356801	0.10030422138028029
99000	0.3690948303712261	0.3223669317497585	0.10150874097451569
100000	0.36588392065789577	0.29186233432010616	0.11226768966305457
101000	0.3650652803741884	0.30127519972709	0.1027897022230843
102000	0.37298960187507	0.3092420995947112	0.11041140978349488
103000	0.3530515817430118	0.2930219141939713	0.10479818447031401
104000	0.34899164332293	0.3005803400085367	0.11199840263482802
105000	0.34822123766715185	0.2848865300310772	0.10624012957484683
106000	0.35634445965333544	0.3097232958809984	0.11032832930787628
107000	0.3569637713483654	0.30312913784724044	0.10352604577893154
108000	0.38138717463957933	0.33916965181959186	0.11331282898489238
109000	0.3573451681843843	0.30115433455292945	0.11724111105407956
110000	0.36683672330325506	0.3010805430484477	0.11283574701851751
111000	0.365632945585737	0.29937711132602723	0.09872802787561821
112000	0.3670821212060836	0.30847430195046727	0.11286913361176007
113000	0.3699275090256355	0.31097812021550797	0.10728405097975502
114000	0.38228212154741753	0.3056214713428506	0.11962716746595496
115000	0.3549674040845315	0.3079811182222738	0.1086748422902633
116000	0.3622218432442402	0.301413630185923	0.09681964861030733
117000	0.3541968103149288	0.31782635058223646	0.10618659735901535
118000	0.36937763558711006	0.3102833498035072	0.1104142201677115
119000	0.3744062243635945	0.2837879285253303	0.10955449733584961
120000	0.3696016172883421	0.3055921356477955	0.10843347117522172
121000	0.35709641072884407	0.287365535328803	0.10258796464907102
122000	0.3699300694970476	0.3010443455759178	0.1044268573738485
123000	0.36511885887653295	0.3020753404102779	0.09358910139762712
124000	0.35587049336808024	0.3105597840199324	0.11276516766250157
125000	0.3585445161342449	0.29409951981204585	0.10357064217787071
126000	0.3649432881245493	0.2826560801625787	0.10818919388560115
127000	0.3563897210923348	0.2860378154824113	0.10310312035027593
128000	0.35780664884738994	0.2679273303600891	0.10470247580547636
